date, pm25, pm10, o3, no2, so2, co
2/23/2018,171,61,48,24,6,13
2/24/2018,152,79,28,25,11,14
2/25/2018,131,89,30,24,4,11
2/26/2018,170,73,47,32,8,13
2/27/2018,169,41,17,31,8,13
2/28/2018,120,42,42,20,2,10
3/1/2018,122,62,25,28,6,15
3/2/2018,157,56,25,25,6,16
3/3/2018,159,67,25,30,5,17
3/4/2018,167,47,12,22,7,16
3/5/2018,127,34,30,14,3,10
3/6/2018,96,43,26,23,5,10
3/7/2018,117,24,24,17,2,6
3/8/2018,99,42,31,25,3,7
3/9/2018,129,77,46,31,6,9
3/10/2018,164,75,46,34,11,12
3/11/2018,146,83,36,45,14,12
3/12/2018,139,107,52,54,9,14
3/13/2018,149,101,45,56,12,15
3/14/2018,165,61,37,27,7,12
3/15/2018,152,65,41,25,7,12
3/16/2018,145,55,26,15,3,8
3/17/2018,139,53,21,22,8,13
3/18/2018,167,25,19,16,1,8
3/19/2018,95,35,18,16,1,9
3/20/2018,146,40,40,17,1,8
3/21/2018,127,67,33,34,4,8
3/22/2018,130,97,33,47,4,12
3/23/2018,160,91,51,45,10,14
3/24/2018,154,92,36,37,13,11
3/25/2018,151,76,42,34,9,13
3/26/2018,143,85,59,37,4,14
3/27/2018,150,84,59,45,4,9
3/28/2018,140,95,69,48,9,14
3/29/2018,153,101,39,57,15,17
3/30/2018,157,104,83,36,8,18
3/31/2018,175,106,71,46,6,13
4/1/2018,227,136,68,67,8,19
4/2/2018,189,97,65,44,6,14
4/3/2018,165,86,71,35,8,13
4/4/2018,156,136,23,17,9,8
4/5/2018,145,34,23,13,1,8
4/6/2018,101,92,40,15,3,7
4/7/2018,108,94,43,23,7,11
4/8/2018,94,101,55,31,4,7
4/9/2018,133,102,65,38,9,10
4/10/2018,139,113,86,42,7,10
4/11/2018,158,129,65,54,8,19
4/12/2018,166,77,28,30,9,14
4/13/2018,163,36,25,16,1,7
4/14/2018,108,48,33,16,2,6
4/15/2018,100,328,42,31,3,7
4/16/2018,162,279,54,40,6,9
4/17/2018,167,149,68,37,7,9
4/18/2018,158,120,77,36,11,11
4/19/2018,159,97,79,34,13,11
4/20/2018,150,94,71,28,14,11
,,,,,,
1/1/2019, ,42,23,28,3,9
1/2/2019,131,56,13,37,3,12
1/3/2019,158,61,15,31,7,15
1/4/2019,165,72,16,28,4,14
1/5/2019,182,99,20,27,4,14
1/6/2019,224,116,16,34,7,20
1/7/2019,248,84,19,29,5,16
1/8/2019,190,70,18,24,3,15
1/9/2019,172,38,11,26,3,18
1/10/2019,120,30,11,23,3,12
1/11/2019,116,52,8,26,3,13
1/12/2019,163,81,22,34,8,20
1/13/2019,188,92,18,44,7,26
1/14/2019,190,73,11,30,6,20
1/15/2019,174,88,21,26,4,19
1/16/2019,199,77,19,27,6,15
1/17/2019,121,123,11,44,7,25
1/18/2019,187,108,11,45,6,22
1/19/2019,194,89,11,36,5,16
1/20/2019,179,105,30,28,7,18
1/21/2019,216,113,23,42,11,18
1/22/2019,219,103,35,45,8,15
1/23/2019,188,95,42,53,9,17
1/24/2019,191,93,47,52,9,17
1/25/2019,174,120,34,45,8,17
1/26/2019,204,115,21,31,9,17
1/27/2019,221,78,20,35,12,13
1/28/2019,167,92,15,30,5,12
1/29/2019,205,73,14,24,5,14
1/30/2019,177,49,7,20,3,15
1/31/2019,142,42,26,15,3,14
2/1/2019,134,64,41,22,4,13
2/2/2019,169,58,21,24,6,14
2/3/2019,156,77,30,18,4,10
2/4/2019,165,99,24,29,6,18
2/5/2019,189,96,36,22,6,14
2/6/2019,193,69,23,22,6,15
2/7/2019,165,88,20,9,2,12
2/8/2019,189,23,24,8,3,7
2/9/2019,78,32,20,8,2,7
2/10/2019,117,46,20,10,3,9
2/11/2019,153,60,25,19,3,10
2/12/2019,165,45,14,17,3,12
2/13/2019,131,49,13,16,3,11
2/14/2019,149,29,14,15,3,11
2/15/2019,110,41,11,17,3,12
2/16/2019,137,57,17,15,3,9
2/17/2019,158,68,26,16,4,8
2/18/2019,165,41,18,19,3,8
2/19/2019,139,56,19,21,4,10
2/20/2019,160,68,17,22,4,9
2/21/2019,168,65,21,20,3,10
2/22/2019,173,49,35,21,4,8
2/23/2019,140,54,12,31,4,9
2/24/2019,142, , , , , 
2/25/2019, ,91, ,52,10,18
2/26/2019,180,99,26,36,10,16
2/27/2019,195,44,27,17,3,8
2/28/2019,126,43,21,24,3,9
3/1/2019,122,40,16,24,3,10
3/2/2019,101,44,63,19,3,9
3/3/2019,148,66,46,24,4,7
3/4/2019,157,79,39,32,8,12
3/5/2019,156,48,28,24,5,9
3/6/2019,131,57,46,32,7,10
3/7/2019,133,70,49,22,7,8
3/8/2019,124,72,38,30,10,10
3/9/2019,153,88,50,33,6,10
3/10/2019,169,99,34,41,7,10
3/11/2019,171,92,31,47,5,9
3/12/2019,123,102,45,47,6,8
3/13/2019,142,105,33,45,11,11
3/14/2019,185,68,48,24,4,8
3/15/2019,149,83,44,42,4,10
3/16/2019,148,95,63,41,11,12
3/17/2019,151,88,42,44,8,13
3/18/2019,156,70,46,26,5,10
3/19/2019,155,76,41,28,10,14
3/20/2019,152,62,44,23,6,12
3/21/2019,129,82,29,23,10,17
3/22/2019,134,45,26,15,4,9
3/23/2019,99,53,37,27,6,9
3/24/2019,125,85,30,34,7,11
3/25/2019,160,53,39,22,5,9
3/26/2019,118,102,2,42,9,15
3/27/2019,158,67,4,29,5,16
3/28/2019,152,84,11,37,5,19
