date, pm25, pm10, o3, no2, so2, co
3/22/2019,62,24,19,26,3,6
3/23/2019,61,18,27,24,2,6
3/24/2019,46,15,34,21,2,6
3/25/2019,46,32,35,43,3,8
3/26/2019,77,30,36,40,2,7
3/27/2019,74,32,39,37,2,7
3/28/2019,73,41,25,38,5,6
3/29/2019,84,27,21,34,5,3
3/30/2019,67,26,28,34,4,4
3/31/2019,67,40,52,25,3,4
4/1/2019,87,50,44,30,3,2
4/2/2019,90,29,44,34,3,2
4/3/2019,66,33,44,34,2,2
4/4/2019,71,30,38,36,2,2
4/5/2019,64,48,81,56,3,4
4/6/2019,106,57,42,59,6,5
4/7/2019,130,23,31,29,4,1
4/8/2019,66,19,17,25,3,2
4/9/2019,57,16,17,25,3,2
4/10/2019,49,22,19,25,4,2
4/11/2019,56,24,16,22,4,2
4/12/2019,69,17,28,28,2,3
4/13/2019,44,27,38,29,2,3
4/14/2019,68,26,31,25,3,4
4/15/2019,73,41,64,34,2,3
4/16/2019,97,28,44,42,2,5
4/17/2019,68,29,31,48,3,6
4/18/2019,71,31,40,41,2,3
4/19/2019,76,19,43,31,2,2
4/20/2019,54,21,30,33,2,2
,,,,,,
1/1/2020, ,38,30,22,2,8
1/2/2020,83,32,33,37,3,7
1/3/2020,73,47,34,45,3,8
1/4/2020,96,46,39,45,3,7
1/5/2020,101,29,38,24,3,6
1/6/2020,68,29,33,33,3,6
1/7/2020,62,37,30,50,4,9
1/8/2020,69,35,38,46,4,9
1/9/2020,64,42,44,35,2,8
1/10/2020,73,45,39,40,2,8
1/11/2020,88,49,35,44,3,7
1/12/2020,97,44,32,37,3, 
1/13/2020,79,35,32,35,2, 
1/14/2020,72,39,40,39,2,8
1/15/2020,83,47,39,33,2,7
1/16/2020,88,49,33,33,2,8
1/17/2020,103,42,20,45,4, 
1/18/2020,77,28,26,33,2, 
1/19/2020,62,39,30,28,2,8
1/20/2020,85,36,25,42,2,8
1/21/2020,80,39,36,36,2, 
1/22/2020,85,41,43,40,2,8
1/23/2020,91,36,28,38,2,8
1/24/2020,78,29,26,28,1,8
1/25/2020,72,20,30,19,1,8
1/26/2020,57,14,18,23,2,8
1/27/2020,43,14,20,27,2,8
1/28/2020,39,15,22,31,3,7
1/29/2020,45,24,29,38,3,8
1/30/2020,64,25,32,42,4,7
1/31/2020,69,29,37,40,3,7
2/1/2020,77,36,39,31,2,8
2/2/2020,78,39,43,22,2,8
2/3/2020,85,34,37,30,2,7
2/4/2020,69,30,33,29,2,7
2/5/2020,70,25,32,24,2,8
2/6/2020,58,32,36,26,2,7
2/7/2020,66,43,30,32,3,7
2/8/2020,79,17,16,25,2,8
2/9/2020,42,23,16,23,2,8
2/10/2020,56,35,18,32,3,8
2/11/2020,75,43,30,35,2,8
2/12/2020,86,54,27,40,4,8
2/13/2020,105,27,11,36,3,8
2/14/2020,63,24,15,30,2,8
2/15/2020,58,37,16,26,2,8
2/16/2020,73,12,21,25,2, 
2/17/2020,31,19,25,36,3,8
2/18/2020,47,25,31,37,2,7
2/19/2020,48,32,37,31,2,7
2/20/2020,59,31,38,34,2,8
2/21/2020,64,25,37,31,1,7
2/22/2020,54,39,41,50,3,8
2/23/2020,79,35,45,18,1,8
2/24/2020,72,48,44,29,1,8
2/25/2020,74,40,35,36,2,8
2/26/2020,67,38,14,39,4,8
2/27/2020,70,32,35,28,2,9
2/28/2020,61,29,38,30,1,8
2/29/2020,62,26,25,37,2, 
3/1/2020,60,35,19,42,5, 
3/2/2020,74,32,34,31,2, 
3/3/2020,68,31,34,20,1, 
3/4/2020,64,21,37,31,2,7
3/5/2020,54,14,28,24,1,7
3/6/2020,41,31,34,27,2,6
3/7/2020,70,46,31,33,1,6
3/8/2020,89,31,21,25,1,6
